quartier,superficie,nombre_chambres,douche_wc,type_d_acces,meublé,état_général,loyer_mensuel
Andoharanofotsy,,2,interieur,moto,non,moyen,300000
Andoharanofotsy,,2,interieur,moto,non,mauvais,180000
Andoharanofotsy,,1,exterieur,moto,non,mauvais,170000
Andoharanofotsy,,2,exterieur,moto,non,moyen,250000
Andoharanofotsy,,2,interieur,voiture_avec_parking,non,bon,450000
Andoharanofotsy,,3,interieur,voiture_avec_parking,non,bon,700000
Andoharanofotsy,141,3,interieur,voiture_avec_parking,non,bon,1400000
Andoharanofotsy,35,1,interieur,moto,non,mauvais,80000
Andoharanofotsy,,2,exterieur,moto,non,mauvais,150000
Andoharanofotsy,,2,exterieur,moto,non,mauvais,200000
Andoharanofotsy,100,4,interieur,voiture_avec_parking,non,bon,1000000
Andoharanofotsy,,3,interieur,voiture_avec_parking,non,moyen,600000
Andoharanofotsy,,2,interieur,voiture_avec_parking,non,moyen,400000
Andoharanofotsy,,4,interieur,voiture_avec_parking,non,bon,1000000
Andoharanofotsy,35,3,interieur,voiture,non,bon,650000
Andoharanofotsy,,1,interieur,moto,non,moyen,120000
Andoharanofotsy,"41,8",2,interieur,voiture,non,bon,650000
Andoharanofotsy,42,2,interieur,voiture,non,bon,650000
Tanjombato,200,8,interieur,voiture_avec_parking,non,bon,4000000
Tanjombato,,2,interieur,moto,non,moyen,250000
Tanjombato,,1,exterieur,moto,non,mauvais,120000
Sonierana,,1,interieur,voiture_avec_parking,oui,moyen,1400000
Tanjombato,,2,interieur,voiture_avec_parking,non,moyen,300000
Ankadimbahoaka,16,2,interieur,moto,non,mauvais,160000
Tanjombato,,3,interieur,voiture_avec_parking,non,moyen,350000
Tanjombato,,1,interieur,voiture,non,moyen,130000
Tanjombato,,2,interieur,voiture_avec_parking,non,moyen,300000
Tanjombato,,2,interieur,moto,non,mauvais,180000
Bypass,130,4,interieur,voiture_avec_parking,non,bon,1500000
Bypass,"152,5",3,interieur,voiture_avec_parking,non,bon,4200000
Bypass,,2,interieur,voiture_avec_parking,non,bon,1500000
Bypass,,4,interieur,voiture_avec_parking,non,bon,1200000
Bypass,,2,interieur,moto,non,moyen,300000
Bypass,,2,interieur,voiture_avec_parking,non,bon,900000
Bypass,34,2,interieur,voiture,non,moyen,500000
Bypass,,3,interieur,voiture_avec_parking,non,bon,1500000
Bypass,,3,exterieur,sans,non,bon,300000
Bypass,,2,interieur,voiture_avec_parking,non,bon,800000
Bypass,,2,interieur,voiture_avec_parking,non,moyen,500000
Bypass,71,2,interieur,voiture_avec_parking,non,moyen,400000
Bypass,71,2,interieur,voiture_avec_parking,non,moyen,400000
Andoharanofotsy,,3,interieur,voiture_avec_parking,non,bon,1200000
Bypass,,1,interieur,sans,non,moyen,300000
Bypass,,3,interieur,voiture,non,bon,1000000
Bypass,,2,interieur,voiture,non,bon,550000
Bypass,,2,interieur,voiture,non,mauvais,150000
Bypass,,2,interieur,voiture_avec_parking,non,bon,500000
Bypass,,3,interieur,voiture_avec_parking,non,bon,600000
Ivato,260,4,interieur,voiture_avec_parking,non,bon,5000000
Ilafy,165,5,interieur,voiture_avec_parking,non,moyen,3000000
Ankerana,60,1,interieur,voiture_avec_parking,non,moyen,1000000
Ampitatafika,100,3,interieur,voiture_avec_parking,non,bon,1000000
67ha,110,3,interieur,sans,non,mauvais,900000
Faravohitra,60,2,interieur,sans,non,moyen,1000000
Soavimbahoaka,65,1,interieur,voiture,non,bon,1000000
Tsimahafotsy,160,4,interieur,voiture_avec_parking,non,bon,1000000
Ivandry,,2,interieur,voiture_avec_parking,non,moyen,1000000
Fort voyron,85,3,interieur,voiture_avec_parking,non,moyen,1000000
Ambohibao,50,2,interieur,voiture_avec_parking,non,bon,1000000
Analamahitsy,120,4,interieur,voiture_avec_parking,non,moyen,1000000
67ha,20,1,interieur,voiture_avec_parking,non,mauvais,800000
Manjakaray,60,2,interieur,voiture_avec_parking,non,moyen,800000
Itaosy,77,2,interieur,voiture,non,bon,700000
Bypass,126,1,interieur,voiture_avec_parking,non,mauvais,900000
Bypass,108,1,interieur,voiture_avec_parking,non,moyen,700000
Ambohidroa,216,8,interieur,voiture,non,moyen,1000000
Andoharanofotsy,,3,interieur,voiture_avec_parking,non,bon,1200000
Bypass,,1,interieur,sans,non,moyen,300000
Bypass,,3,interieur,voiture,non,bon,1000000
Bypass,,2,interieur,voiture,non,bon,550000
Bypass,,2,interieur,voiture,non,mauvais,150000
Bypass,,2,interieur,voiture_avec_parking,non,bon,500000
Bypass,,3,interieur,voiture_avec_parking,non,bon,600000
Itaosy,,3,interieur,moto,non,moyen,350000
Ivandry,,3,interieur,voiture,non,bon,1000000
Imerinafoany,,1,exterieur,moto,non,moyen,180000
Soavimasoandro,,3,interieur,voiture_avec_parking,non,bon,1200000
Ambohimanarina,,3,interieur,moto,non,moyen,230000
Ambohitrarahaba,,2,exterieur,sans,non,mauvais,140000
Ambohimanarina,,3,interieur,sans,non,mauvais,400000
Soavimasoandro,,2,interieur,moto,non,mauvais,320000
Ambohimanarina,,3,interieur,moto,non,bon,800000
Alarobia,,3,interieur,voiture_avec_parking,non,bon,600000
Ambohimanarina,,1,interieur,sans,non,bon,600000
Ambohimanarina,,1,exterieur,sans,non,moyen,600000
ambomanarina,,2,interieur,moto,non,bon,400000
Ambohimanarina,,2,interieur,moto,non,bon,400000
Ambohimanarina,,1,interieur,moto,non,moyen,300000
Iaviloha,,2,interieur,voiture_avec_parking,non,bon,1400000
Iaviloha,,2,interieur,voiture_avec_parking,oui,bon,3000000
Ambohimanarina,,5,interieur,voiture_avec_parking,non,bon,2200000
Ambohimanarina,,3,interieur,voiture_avec_parking,non,bon,2000000
67ha,,1,interieur,moto,non,mauvais,120000
Ankadimbahoaka,,1,exterieur,moto,non,moyen,900000
Ankadimbahoaka,,1,exterieur,moto,non,mauvais,160000
67ha,,1,interieur,moto,non,bon,160000
Isotry,,1,interieur,moto,non,mauvais,400000
Itaosy,,1,exterieur,moto,non,moyen,150000
Ivandry,100,2,interieur,voiture_avec_parking,oui,bon,5350000
Bypass,,2,interieur,voiture_avec_parking,non,moyen,450000
Amboditsiry,96,2,interieur,voiture_avec_parking,non,bon,1000000
Isoraka,48,1,interieur,voiture_avec_parking,non,bon,1000000
Ambohijanaka,168,4,interieur,voiture_avec_parking,non,bon,900000
Mandroseza,99,3,interieur,sans,non,bon,1000000
Iavoloha,104,3,interieur,voiture_avec_parking,non,bon,1000000
Anosivavaka,42,3,interieur,voiture_avec_parking,non,mauvais,1000000
Ambohimanambola,30,1,interieur,voiture_avec_parking,non,bon,1000000
Ivato,99,3,interieur,voiture,non,bon,800000
Andranobevava,53,1,interieur,voiture_avec_parking,non,bon,1000000
Ambolokandrina,65,2,interieur,voiture_avec_parking,non,moyen,800000
Ampasanimalo,104,4,interieur,voiture_avec_parking,non,moyen,1030000
Soarano,38,1,interieur,sans,non,bon,1000000
Amboditsiry,74,1,interieur,voiture_avec_parking,non,bon,1000000
Amboditsiry,64,1,interieur,voiture_avec_parking,non,bon,800000
Amboditsiry,66,2,interieur,voiture_avec_parking,non,moyen,900000
Bypass,48,1,interieur,voiture_avec_parking,non,moyen,900000
Avaradoha,50,2,interieur,sans,non,moyen,700000
Antaninandro,82,4,interieur,sans,non,moyen,1000000
Talatamaty,60,1,interieur,voiture_avec_parking,non,moyen,1000000
Ambatobe,28,1,interieur,voiture_avec_parking,non,bon,1000000
Tsaralalana,26,1,interieur,sans,oui,mauvais,900000
